fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude,law_type,ipc_final,hour,day_of_week,age_group
8997/2022,2022-01-12 20:53:00,2022,Lucknow,Uttar Pradesh,FRAUD/CHEATING,bank fraud,ipc 420,residence,39,61,male,False,pending trial,low,26.94638261015557,80.82724708719299,IPC,IPC 420,20,Wednesday,51-65
3722/2022,2022-04-24 16:36:00,2022,Chandigarh,Punjab,KIDNAPPING,abduction for ransom,363 IPC,street,48,35,male,True,pending trial,high,30.64844853236344,76.91730100492224,IPC,IPC 363,16,Sunday,26-35
FIR/AHM/2023/1960,2023-10-29 12:59:00,2023,Ahmedabad,Gujarat,THEFT,chain snatching,378,street,5,29,unknown,True,closed,low,23.026877553795305,72.69997753220184,IPC,IPC 378,12,Sunday,26-35
FIR/PUN/2017/8280,2017-04-23 01:12:00,2017,Pune,Maharashtra,FRAUD/CHEATING,online fraud,IPC 420,railway station,24,28,female,False,closed,low,18.517132387793197,73.90065099685631,IPC,IPC 420,1,Sunday,26-35
NAG-2019-9541,2019-10-03 15:58:00,2019,Nagpur,Maharashtra,ASSAULT,simple assault,ipc 351,unknown,26,36,female,False,charge sheeted,medium,21.06980490451654,79.11655439473391,IPC,IPC 351,15,Thursday,36-50
FIR34642016,2016-03-10 13:58:00,2016,Delhi,Delhi,BURGLARY,night burglary,Sec. 457,railway station,27,19,female,True,charge sheeted,medium,28.81985623815008,76.99333266754606,IPC,IPC 457,13,Thursday,18-25
8327/2021,2021-06-26 17:11:00,2021,Ahmedabad,Gujarat,RAPE/SEXUAL ASSAULT,molestation,POCSO Act,school,8,47,male,True,under investigation,high,22.923027448107288,72.58143607382931,POCSO,POCSO,17,Saturday,36-50
FIR14492016,2016-03-09 04:16:00,2016,Chennai,Tamil Nadu,ASSAULT,grievous hurt,Sec. 351,railway station,33,73,female,True,convicted,medium,13.23148537024013,80.39771406252491,IPC,IPC 351,4,Wednesday,65+
5142/2022,2022-01-01 00:00:00,2022,Kolkata,West Bengal,CYBER CRIME,phishing,66C IT Act,bank,48,38,female,False,charge sheeted,low,22.52083421172397,88.4071586192718,IT,IT 66,0,Saturday,36-50
fir/che/2018/8483,2018-08-21 00:00:00,2018,Chennai,Tamil Nadu,THEFT,chain snatching,ipc 378,railway station,42,44,female,True,under investigation,low,13.104527849605844,80.41582582774672,IPC,IPC 378,0,Tuesday,36-50
fir/ahm/2018/9343,2018-11-20 06:05:00,2018,Ahmedabad,Gujarat,VEHICLE THEFT,two wheeler,ipc 379,market,16,52,male,False,closed,low,22.90494295419164,72.47705480675464,IPC,IPC 379,6,Tuesday,51-65
FIR39242019,2019-04-16 20:51:00,2019,Bangalore,Karnataka,VEHICLE THEFT,two wheeler,MVA Sec 185,bank,15,53,unknown,False,charge sheeted,low,12.918270478464873,77.67679041531163,MVA,MVA 185,20,Tuesday,51-65
FIR/BHO/2019/2205,2019-02-12 20:39:00,2019,Bhopal,Madhya Pradesh,THEFT,pickpocketing,378 IPC,unknown,19,45,unknown,True,pending trial,low,23.32076729455629,77.32807929564379,IPC,IPC 378,20,Tuesday,36-50
fir/ahm/2017/6923,2017-03-19 00:00:00,2017,Ahmedabad,Gujarat,ROBBERY,armed robbery,Sec 392,residence,32,35,female,False,closed,high,23.110552731939325,72.5001349196618,IPC,IPC 392,0,Sunday,26-35
FIR20442018,2018-11-02 15:34:00,2018,Kanpur,Uttar Pradesh,BURGLARY,night burglary,ipc 457,street,47,73,male,False,closed,medium,26.529956536788347,80.29761411982417,IPC,IPC 457,15,Friday,65+
fir/nag/2023/3368,2023-03-03 12:25:00,2023,Nagpur,Maharashtra,BURGLARY,house breaking,ipc 457,unknown,27,65,male,False,charge sheeted,medium,21.03050373502062,79.05515489116742,IPC,IPC 457,12,Friday,51-65
fir/hyd/2019/3018,2019-02-15 10:32:00,2019,Hyderabad,Telangana,EXTORTION,online extortion,ipc 383,office,14,70,unknown,False,convicted,medium,17.24085267057993,78.42360504922894,IPC,IPC 383,10,Friday,65+
2992/2017,2017-02-26 22:52:00,2017,Indore,Madhya Pradesh,FRAUD/CHEATING,bank fraud,ipc 420,school,26,10,male,True,convicted,low,22.839849632676483,75.79404722419623,IPC,IPC 420,22,Sunday,Under 18
PAT-2016-1266,2016-09-29 17:34:00,2016,Patna,Bihar,ASSAULT,road rage,IPC 351,office,20,55,male,False,pending trial,medium,25.47366679098181,85.18657725900336,IPC,IPC 351,17,Thursday,51-65
JAI-2021-1486,2021-01-01 00:00:00,2021,Jaipur,Rajasthan,DACOITY,gang robbery,ipc 395,highway,24,74,male,False,acquitted,high,27.001398356390688,75.89376035627518,IPC,IPC 395,0,Friday,65+
FIR/LUC/2023/6530,2023-04-19 18:47:00,2023,Lucknow,Uttar Pradesh,THEFT,mobile theft,378,bank,25,64,female,False,closed,low,26.77812307665838,80.8338718814339,IPC,IPC 378,18,Wednesday,51-65
FIR50942018,2018-01-01 00:00:00,2018,Mumbai,Maharashtra,VEHICLE THEFT,car theft,ipc 379,bank,3,35,female,False,under investigation,low,19.19547815517599,72.80128323987343,IPC,IPC 379,0,Monday,26-35
MUM-2023-1231,2023-07-03 01:15:00,2023,Mumbai,Maharashtra,THEFT,chain snatching,378 IPC,street,39,65,male,True,convicted,low,19.182904246670077,72.87614340001275,IPC,IPC 378,1,Monday,51-65
fir/mum/2016/3278,2016-01-01 00:00:00,2016,Mumbai,Maharashtra,DRUG OFFENSE,peddling,NDPS ACT Sec 8,highway,4,14,unknown,True,pending trial,low,19.11340386971304,72.76026442735893,NDPS,NDPS 8,0,Friday,Under 18
BAN-2018-3021,2018-06-11 13:22:00,2018,Bangalore,Karnataka,DRUG OFFENSE,possession,NDPS Act,railway station,19,66,male,False,pending trial,low,13.02320801460979,77.73506823618179,NDPS,NDPS,13,Monday,65+
fir/kol/2019/1568,2019-10-06 13:58:00,2019,Kolkata,West Bengal,THEFT,pickpocketing,IPC-378,unknown,15,73,male,False,closed,low,22.69281121409361,88.34149408065608,IPC,IPC 378,13,Sunday,65+
fir/mum/2017/6688,2017-12-14 15:45:00,2017,Mumbai,Maharashtra,THEFT,pickpocketing,ipc 378,street,35,70,unknown,False,closed,low,19.224449645255262,72.74897386657861,IPC,IPC 378,15,Thursday,65+
FIR/IND/2015/6725,2015-02-01 08:31:00,2015,Indore,Madhya Pradesh,RAPE/SEXUAL ASSAULT,molestation,POCSO Act,residence,44,30,female,False,charge sheeted,high,22.65690253095653,75.95419673488374,POCSO,POCSO,8,Sunday,26-35
2347/2017,2017-04-08 00:00:00,2017,Kochi,Kerala,DOMESTIC VIOLENCE,dowry harassment,498-A IPC,highway,16,6,unknown,False,charge sheeted,medium,9.856382477753378,76.2193191429382,IPC,IPC 498,0,Saturday,Under 18
2887/2023,2023-09-04 04:36:00,2023,Bangalore,Karnataka,ROBBERY,armed robbery,IPC-392,school,25,34,female,False,charge sheeted,high,13.079325134881548,77.66939836293012,IPC,IPC 392,4,Monday,26-35
8087/2023,2023-07-01 02:29:00,2023,Kolkata,West Bengal,ASSAULT,grievous hurt,IPC 351,railway station,18,57,male,False,under investigation,medium,22.694097152410617,88.38715854725095,IPC,IPC 351,2,Saturday,51-65
7587/2015,2015-10-08 00:00:00,2015,Mumbai,Maharashtra,ATTEMPT TO MURDER,stabbing,ipc 307,railway station,39,73,female,False,charge sheeted,high,19.016463121672118,72.90753655439455,IPC,IPC 307,0,Thursday,65+
PUN-2020-7246,2020-01-01 00:00:00,2020,Pune,Maharashtra,ATTEMPT TO MURDER,stabbing,307 IPC,market,19,53,female,False,charge sheeted,high,18.40711947816379,73.83933253460646,IPC,IPC 307,0,Wednesday,51-65
fir/mum/2021/1883,2021-01-27 00:00:00,2021,Mumbai,Maharashtra,THEFT,mobile theft,IPC 378,market,38,74,male,False,closed,low,18.934137690311317,72.74136125794233,IPC,IPC 378,0,Wednesday,65+
DEL-2015-6816,2015-01-17 18:08:00,2015,Delhi,Delhi,DOMESTIC VIOLENCE,physical abuse,498-A IPC,market,20,53,female,True,convicted,medium,28.598893612788004,77.18051754011591,IPC,IPC 498,18,Saturday,51-65
fir/del/2019/2543,2019-04-01 04:32:00,2019,Delhi,Delhi,BURGLARY,house breaking,457 IPC,market,37,42,male,False,under investigation,medium,28.718373982234997,77.17578768495147,IPC,IPC 457,4,Monday,36-50
fir/hyd/2015/2108,2015-12-22 16:40:00,2015,Hyderabad,Telangana,THEFT,mobile theft,378 IPC,highway,16,55,female,False,under investigation,low,17.377037411484896,78.36661357762513,IPC,IPC 378,16,Tuesday,51-65
FIR28892017,2017-03-02 13:53:00,2017,Bhopal,Madhya Pradesh,MURDER,culpable homicide,IPC 302,school,41,14,male,False,under investigation,high,23.134812229496927,77.50577753881582,IPC,IPC 302,13,Thursday,Under 18
FIR/LUC/2020/3950,2020-01-01 00:00:00,2020,Lucknow,Uttar Pradesh,ASSAULT,simple assault,351 IPC,bank,12,13,female,False,charge sheeted,medium,26.984818622600816,81.0344243312354,IPC,IPC 351,0,Wednesday,Under 18
FIR/MUM/2021/7135,2021-01-02 18:12:00,2021,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,sexual assault,ipc 376,office,41,27,male,False,pending trial,high,18.984712218628864,72.81236862586789,IPC,IPC 376,18,Saturday,26-35
FIR/PUN/2020/4610,2020-03-05 02:52:00,2020,Pune,Maharashtra,HUMAN TRAFFICKING,labour trafficking,ipc 370,railway station,3,17,female,False,closed,high,18.461633253690906,73.8758899658549,IPC,IPC 370,2,Thursday,Under 18
FIR/LUC/2022/9825,2022-07-28 00:39:00,2022,Lucknow,Uttar Pradesh,ASSAULT,road rage,ipc 351,street,11,72,male,False,under investigation,medium,26.83351095746784,81.00426061167344,IPC,IPC 351,0,Thursday,65+
fir/ahm/2020/6978,2020-12-30 16:22:00,2020,Ahmedabad,Gujarat,CYBER CRIME,phishing,IT Act 66,office,39,29,male,False,convicted,low,22.92706051482854,72.56410348733584,IT,IT 66,16,Wednesday,26-35
FIR/LUC/2023/2855,2023-08-17 09:28:00,2023,Lucknow,Uttar Pradesh,ASSAULT,simple assault,Sec. 351,residence,27,27,male,False,under investigation,medium,26.94595349755086,81.02671222947791,IPC,IPC 351,9,Thursday,26-35
FIR/PAT/2018/6465,2018-09-20 16:02:00,2018,Patna,Bihar,THEFT,shoplifting,ipc 378,unknown,20,35,female,True,under investigation,low,25.494523806267733,85.1555855419164,IPC,IPC 378,16,Thursday,26-35
fir/ind/2022/6233,2022-05-02 06:57:00,2022,Indore,Madhya Pradesh,FRAUD/CHEATING,investment scam,420 IPC,residence,35,36,male,False,closed,low,22.680479365684967,75.92412027578554,IPC,IPC 420,6,Monday,36-50
FIR34642021,2021-06-24 12:21:00,2021,Ahmedabad,Gujarat,THEFT,pickpocketing,378,market,7,58,male,False,under investigation,low,22.91866108017405,72.71717397064337,IPC,IPC 378,12,Thursday,51-65
FIR/KOC/2017/2185,2017-11-29 21:00:00,2017,Kochi,Kerala,EXTORTION,threatening,Sec 383,school,47,56,female,False,pending trial,medium,10.01077747782117,76.32467192149824,IPC,IPC 383,21,Wednesday,51-65
FIR94642021,2021-07-28 01:05:00,2021,Bangalore,Karnataka,DRUG OFFENSE,possession,NDPS ACT Sec 8,highway,39,18,female,False,convicted,low,13.011518427282832,77.533200155899,NDPS,NDPS 8,1,Wednesday,Under 18
6837/2019,2019-11-18 15:12:00,2019,Jaipur,Rajasthan,ASSAULT,simple assault,IPC 351,market,16,11,female,True,charge sheeted,medium,26.98568523376709,75.8542024774694,IPC,IPC 351,15,Monday,Under 18
FIR66242020,2020-12-11 19:02:00,2020,Bangalore,Karnataka,MURDER,culpable homicide,Sec. 302,school,46,63,female,False,closed,high,12.872561364977676,77.51775530559789,IPC,IPC 302,19,Friday,51-65
MUM-2016-1506,2016-04-19 07:55:00,2016,Mumbai,Maharashtra,FRAUD/CHEATING,upi fraud,420 IPC,school,30,9,female,False,pending trial,low,19.08749736890053,72.8498240234327,IPC,IPC 420,7,Tuesday,Under 18
FIR/DEL/2020/2440,2020-12-07 10:52:00,2020,Delhi,Delhi,BURGLARY,house breaking,ipc 457,residence,6,59,male,False,under investigation,medium,28.83964028748862,76.99468325075155,IPC,IPC 457,10,Monday,51-65
fir/luc/2016/4693,2016-07-06 04:58:00,2016,Lucknow,Uttar Pradesh,OTHER IPC OFFENSE,public nuisance,IPC 107,office,4,18,male,False,closed,low,26.713528530852525,81.02093113994177,IPC,IPC 107,4,Wednesday,Under 18
HYD-2018-7961,2018-04-30 04:54:00,2018,Hyderabad,Telangana,FRAUD/CHEATING,upi fraud,420 IPC,street,15,62,male,True,pending trial,low,17.412591639574845,78.47390590387627,IPC,IPC 420,4,Monday,51-65
DEL-2016-9701,2016-08-24 09:54:00,2016,Delhi,Delhi,MURDER,premeditated,ipc 302,railway station,43,25,male,True,under investigation,high,28.635308289021488,77.01233554434644,IPC,IPC 302,9,Wednesday,18-25
FIR34992021,2021-03-14 00:00:00,2021,Hyderabad,Telangana,VEHICLE THEFT,car theft,MVA Sec 185,office,24,77,male,True,convicted,low,17.427645218715767,78.62577722283336,MVA,MVA 185,0,Sunday,65+
FIR78142017,2017-01-01 00:00:00,2017,Patna,Bihar,THEFT,shoplifting,IPC-378,office,33,60,male,False,charge sheeted,low,25.538289405076515,85.18834847452148,IPC,IPC 378,0,Sunday,51-65
FIR/MUM/2021/2840,2021-12-07 23:16:00,2021,Mumbai,Maharashtra,HUMAN TRAFFICKING,labour trafficking,ITPA Act,street,36,76,female,False,charge sheeted,high,19.00251295576317,72.77948432439293,IT,IT,23,Tuesday,65+
FIR/AHM/2017/2440,2017-11-20 15:06:00,2017,Ahmedabad,Gujarat,CYBER CRIME,identity theft,IT ACT 66,railway station,5,30,male,False,under investigation,low,22.91695023327388,72.42448916407174,IT,IT 66,15,Monday,26-35
FIR/MUM/2020/6540,2020-12-08 04:10:00,2020,Mumbai,Maharashtra,VEHICLE THEFT,two wheeler,379 IPC,bank,21,61,female,False,convicted,low,18.957561825049236,72.73007705851839,IPC,IPC 379,4,Tuesday,51-65
8732/2020,2020-12-12 22:41:00,2020,Delhi,Delhi,FRAUD/CHEATING,online fraud,Sec 420,office,31,50,male,True,charge sheeted,low,28.64898714705904,77.20596978133797,IPC,IPC 420,22,Saturday,36-50
fir/ind/2018/6428,2018-04-17 09:39:00,2018,Indore,Madhya Pradesh,ROBBERY,bank robbery,Sec 392,bank,2,51,female,False,under investigation,high,22.62936768413697,75.81973373873643,IPC,IPC 392,9,Tuesday,51-65
FIR84942018,2018-01-01 00:00:00,2018,Guwahati,Assam,RAPE/SEXUAL ASSAULT,rape,Sec 376,bank,2,40,male,True,closed,high,26.058660773532736,91.79970443915497,IPC,IPC 376,0,Monday,36-50
FIR/BAN/2016/5070,2016-01-01 00:00:00,2016,Bangalore,Karnataka,RAPE/SEXUAL ASSAULT,rape,IPC 376,bank,31,14,female,False,under investigation,high,13.102031362233053,77.66796607268088,IPC,IPC 376,0,Friday,Under 18
7292/2017,2017-02-25 13:14:00,2017,Jaipur,Rajasthan,ROBBERY,bank robbery,IPC-392,railway station,35,67,female,True,under investigation,high,26.873783703732467,75.7692464594129,IPC,IPC 392,13,Saturday,65+
fir/pat/2016/2468,2016-05-08 07:04:00,2016,Patna,Bihar,THEFT,pickpocketing,IPC 378,market,17,41,male,False,charge sheeted,low,25.583197700724813,85.04318075326675,IPC,IPC 378,7,Sunday,36-50
IND-2020-7486,2020-01-01 00:00:00,2020,Indore,Madhya Pradesh,DOMESTIC VIOLENCE,dowry harassment,Sec 498A,market,10,79,female,True,charge sheeted,medium,22.844376723735365,75.76026875879657,IPC,IPC 498,0,Wednesday,65+
fir/mum/2023/1383,2023-01-08 16:47:00,2023,Mumbai,Maharashtra,DACOITY,gang robbery,Sec 395,street,3,65,male,True,under investigation,high,18.957701865740948,72.98372584627612,IPC,IPC 395,16,Sunday,51-65
fir/kan/2018/5278,2018-01-01 00:00:00,2018,Kanpur,Uttar Pradesh,ASSAULT,grievous hurt,ipc 351,street,49,24,female,False,pending trial,medium,26.308334440757974,80.4673309013462,IPC,IPC 351,0,Monday,18-25
FIR93142017,2017-12-31 18:47:00,2017,Indore,Madhya Pradesh,ROBBERY,unarmed robbery,IPC-392,residence,23,39,female,False,closed,high,22.62396154502159,75.77692963045533,IPC,IPC 392,18,Sunday,36-50
FIR/PAT/2019/9855,2019-04-17 11:17:00,2019,Patna,Bihar,BURGLARY,house breaking,IPC 457,office,17,36,unknown,False,under investigation,medium,25.61363049227327,85.10806595409984,IPC,IPC 457,11,Wednesday,36-50
FIR72092017,2017-10-09 04:20:00,2017,Pune,Maharashtra,MURDER,culpable homicide,ipc 302,bank,25,28,unknown,True,convicted,high,18.59358188005721,73.97902262916767,IPC,IPC 302,4,Monday,26-35
AHM-2023-1691,2023-01-25 00:00:00,2023,Ahmedabad,Gujarat,VEHICLE THEFT,two wheeler,MVA Sec 185,office,48,56,female,False,closed,low,22.94196315144564,72.61600566895146,MVA,MVA 185,0,Wednesday,51-65
5812/2018,2018-07-13 06:08:00,2018,Bangalore,Karnataka,CYBER CRIME,hacking,IT Act 66,highway,5,38,unknown,True,charge sheeted,low,13.054178302104413,77.57281373115836,IT,IT 66,6,Friday,36-50
fir/che/2019/4928,2019-11-19 01:31:00,2019,Chennai,Tamil Nadu,THEFT,chain snatching,IPC-378,railway station,41,74,male,False,under investigation,low,13.199858104469152,80.32459682636012,IPC,IPC 378,1,Tuesday,65+
FIR/DEL/2015/1505,2015-09-22 10:45:00,2015,Delhi,Delhi,THEFT,shoplifting,378 IPC,school,16,7,unknown,False,acquitted,low,28.599677909289024,77.11836093930938,IPC,IPC 378,10,Tuesday,Under 18
FIR/SUR/2023/8535,2023-03-15 14:57:00,2023,Surat,Gujarat,DACOITY,armed dacoity,395 IPC,highway,18,64,male,True,charge sheeted,high,21.089415588398207,72.81327202853805,IPC,IPC 395,14,Wednesday,51-65
2527/2022,2022-05-10 03:15:00,2022,Pune,Maharashtra,DRUG OFFENSE,possession,Sec 20 NDPS,school,7,76,female,False,pending trial,low,18.58700343713042,73.89734802996689,NDPS,NDPS 20,3,Tuesday,65+
FIR37892016,2016-02-14 12:10:00,2016,Chandigarh,Punjab,BURGLARY,house breaking,457 IPC,residence,16,74,male,False,pending trial,medium,30.806295454128207,76.92047217326835,IPC,IPC 457,12,Sunday,65+
8342/2017,2017-01-01 00:00:00,2017,Jaipur,Rajasthan,THEFT,pickpocketing,IPC 378,highway,22,12,female,False,acquitted,low,26.81646280660016,75.66523804898782,IPC,IPC 378,0,Sunday,Under 18
FIR58192020,2020-10-06 00:00:00,2020,Mumbai,Maharashtra,ROBBERY,armed robbery,392 IPC,office,49,32,male,False,closed,high,18.97801127808034,72.96748070255035,IPC,IPC 392,0,Tuesday,26-35
8142/2018,2018-01-01 00:00:00,2018,Kolkata,West Bengal,COUNTERFEITING,fake currency,489A IPC,unknown,11,47,unknown,False,charge sheeted,low,22.42433101567172,88.35960664777606,IPC,IPC 489,0,Monday,36-50
FIR/KOL/2020/2080,2020-08-29 05:47:00,2020,Kolkata,West Bengal,BURGLARY,house breaking,ipc 457,office,19,7,unknown,False,acquitted,medium,22.616739210438915,88.4009167181737,IPC,IPC 457,5,Saturday,Under 18
fir/ban/2019/1553,2019-07-26 19:10:00,2019,Bangalore,Karnataka,DRUG OFFENSE,trafficking,Sec 20 NDPS,street,33,43,female,True,charge sheeted,low,12.955944224166789,77.48106878946734,NDPS,NDPS 20,19,Friday,36-50
FIR49792020,2020-09-22 00:00:00,2020,Bangalore,Karnataka,RAPE/SEXUAL ASSAULT,sexual assault,ipc 376,street,3,32,female,False,pending trial,high,12.88043293608006,77.62340887583277,IPC,IPC 376,0,Tuesday,26-35
fir/del/2016/1958,2016-01-01 00:00:00,2016,Delhi,Delhi,THEFT,pickpocketing,378,school,34,59,male,False,closed,low,28.575930295903888,77.17317740142428,IPC,IPC 378,0,Friday,51-65
FIR74442015,2015-11-12 17:41:00,2015,Chennai,Tamil Nadu,ROBBERY,armed robbery,Sec 392,unknown,13,75,unknown,False,pending trial,high,13.156578501594463,80.16627903275008,IPC,IPC 392,17,Thursday,65+
FIR51192017,2017-12-13 04:22:00,2017,Bangalore,Karnataka,ROBBERY,armed robbery,Sec 392,railway station,38,79,male,False,charge sheeted,high,12.952130943174469,77.60473566558585,IPC,IPC 392,4,Wednesday,65+
5757/2015,2015-11-21 22:54:00,2015,Indore,Madhya Pradesh,DOMESTIC VIOLENCE,dowry harassment,498-A IPC,residence,28,54,male,False,pending trial,medium,22.828936488517343,75.92902363599791,IPC,IPC 498,22,Saturday,51-65
FIR/MUM/2020/6005,2020-09-10 04:33:00,2020,Mumbai,Maharashtra,DOMESTIC VIOLENCE,mental cruelty,ipc 498a,railway station,15,65,male,False,closed,medium,19.175634469933627,72.81265589083866,IPC,IPC 498,4,Thursday,51-65
NAG-2021-4256,2021-05-24 00:27:00,2021,Nagpur,Maharashtra,FRAUD/CHEATING,bank fraud,IPC 420,residence,48,47,female,True,under investigation,low,21.18666544109056,79.05199691118057,IPC,IPC 420,0,Monday,36-50
FIR/BAN/2018/6505,2018-12-20 11:31:00,2018,Bangalore,Karnataka,ASSAULT,simple assault,351 IPC,office,3,65,male,False,convicted,medium,12.851463116186936,77.59702584075904,IPC,IPC 351,11,Thursday,51-65
2072/2019,2019-05-01 18:48:00,2019,Bangalore,Karnataka,ROBBERY,unarmed robbery,ipc 392,street,21,49,female,False,charge sheeted,high,12.969785008712204,77.59787999954368,IPC,IPC 392,18,Wednesday,36-50
FIR69242022,2022-07-24 14:56:00,2022,Indore,Madhya Pradesh,ASSAULT,road rage,ipc 351,bank,25,75,male,False,convicted,medium,22.60770513164815,75.72219144539552,IPC,IPC 351,14,Sunday,65+
FIR/CHA/2017/4435,2017-03-24 00:00:00,2017,Chandigarh,Punjab,KIDNAPPING,child kidnapping,363 IPC,street,6,5,male,False,pending trial,high,30.864045738819517,76.70911223162383,IPC,IPC 363,0,Friday,Under 18
FIR21892023,2023-12-10 19:58:00,2023,Chennai,Tamil Nadu,FRAUD/CHEATING,investment scam,420,street,39,61,male,False,under investigation,low,13.202390239433564,80.20349773867612,IPC,IPC 420,19,Sunday,51-65
FIR82942020,2020-01-01 00:00:00,2020,Delhi,Delhi,VEHICLE THEFT,two wheeler,ipc 379,school,48,29,female,False,under investigation,low,28.69949460318194,77.03815466947084,IPC,IPC 379,0,Wednesday,26-35
7747/2020,2020-10-05 00:00:00,2020,Kolkata,West Bengal,ASSAULT,simple assault,IPC 352,office,48,26,female,True,under investigation,medium,22.660557679133493,88.31276184463195,IPC,IPC 352,0,Monday,26-35
FIR/KOL/2022/3875,2022-05-21 00:00:00,2022,Kolkata,West Bengal,BURGLARY,house breaking,ipc 457,street,30,55,male,False,under investigation,medium,22.55794612950979,88.35048992249415,IPC,IPC 457,0,Saturday,51-65
CHA-2019-3821,2019-01-06 20:43:00,2019,Chandigarh,Punjab,ROBBERY,armed robbery,IPC-392,unknown,2,6,unknown,False,closed,high,30.5920226574954,76.76670794567495,IPC,IPC 392,20,Sunday,Under 18
FIR/NAG/2016/4715,2016-01-08 00:00:00,2016,Nagpur,Maharashtra,THEFT,chain snatching,378,street,1,29,female,False,under investigation,low,21.188544091440825,79.0587191773198,IPC,IPC 378,0,Friday,26-35
PUN-2017-2406,2017-01-01 00:00:00,2017,Pune,Maharashtra,FRAUD/CHEATING,online fraud,420,bank,13,24,male,False,closed,low,18.64295091376025,73.95960551961632,IPC,IPC 420,0,Sunday,18-25
FIR/CHE/2017/1905,2017-06-15 12:56:00,2017,Chennai,Tamil Nadu,ROBBERY,unarmed robbery,Sec 392,bank,5,15,female,False,convicted,high,13.079907978308542,80.34154942237919,IPC,IPC 392,12,Thursday,Under 18
fir/guw/2020/2378,2020-12-13 01:34:00,2020,Guwahati,Assam,ASSAULT,grievous hurt,351 IPC,market,12,78,male,False,convicted,medium,26.279721141405243,91.83467223684929,IPC,IPC 351,1,Sunday,65+
fir/guw/2019/1248,2019-10-20 13:48:00,2019,Guwahati,Assam,THEFT,chain snatching,378 IPC,street,48,68,female,False,charge sheeted,low,26.245007850514725,91.62044483561657,IPC,IPC 378,13,Sunday,65+
FIR/HYD/2022/4575,2022-11-23 18:48:00,2022,Hyderabad,Telangana,MURDER,premeditated,302 IPC,street,23,63,female,False,closed,high,17.3061931110968,78.43277859174756,IPC,IPC 302,18,Wednesday,51-65
FIR13242018,2018-04-13 22:03:00,2018,Delhi,Delhi,CYBER CRIME,social media abuse,IT Act 66,highway,45,43,male,False,under investigation,low,28.71890468786672,76.95668948896144,IT,IT 66,22,Friday,36-50
FIR/BAN/2016/2155,2016-04-27 00:00:00,2016,Bangalore,Karnataka,RIOTING,communal riot,147 IPC,street,48,55,male,False,acquitted,medium,13.039292562858376,77.63266865774594,IPC,IPC 147,0,Wednesday,51-65
FIR70342017,2017-10-24 02:37:00,2017,Ahmedabad,Gujarat,THEFT,shoplifting,378 IPC,residence,25,25,female,False,pending trial,low,22.94993425054326,72.5989388316668,IPC,IPC 378,2,Tuesday,18-25
7387/2018,2018-12-31 00:00:00,2018,Kochi,Kerala,ATTEMPT TO MURDER,stabbing,IPC 307,bank,25,74,male,False,convicted,high,9.962788667950148,76.41195304600673,IPC,IPC 307,0,Monday,65+
4422/2018,2018-01-01 00:00:00,2018,Delhi,Delhi,DRUG OFFENSE,trafficking,NDPS ACT Sec 8,office,25,71,female,False,closed,low,28.739447071412105,77.03251339437682,NDPS,NDPS 8,0,Monday,65+
FIR/KOL/2023/2640,2023-06-04 14:27:00,2023,Kolkata,West Bengal,RAPE/SEXUAL ASSAULT,sexual assault,376 IPC,bank,21,32,male,True,closed,high,22.70809909365309,88.4271368843997,IPC,IPC 376,14,Sunday,26-35
FIR/BAN/2022/7355,2022-05-24 00:00:00,2022,Bangalore,Karnataka,FRAUD/CHEATING,investment scam,420,highway,32,14,male,False,closed,low,13.06235726327059,77.48951974728543,IPC,IPC 420,0,Tuesday,Under 18
FIR/JAI/2017/1845,2017-02-11 09:56:00,2017,Jaipur,Rajasthan,FRAUD/CHEATING,bank fraud,420 IPC,street,46,12,unknown,True,closed,low,26.964483454100147,75.74862586332243,IPC,IPC 420,9,Saturday,Under 18
fir/ahm/2023/3873,2023-10-19 13:27:00,2023,Ahmedabad,Gujarat,DRUG OFFENSE,possession,NDPS ACT Sec 8,highway,23,23,female,False,acquitted,low,22.89323814132857,72.67046196894721,NDPS,NDPS 8,13,Thursday,18-25
FIR/DEL/2023/5295,2023-12-26 05:50:00,2023,Delhi,Delhi,BURGLARY,house breaking,IPC 457,atm,48,32,male,False,charge sheeted,medium,28.66092499320961,77.15652108489788,IPC,IPC 457,5,Tuesday,26-35
DEL-2023-5046,2023-01-01 00:00:00,2023,Delhi,Delhi,ASSAULT,simple assault,Sec. 351,office,7,10,male,True,convicted,medium,28.742562614880647,77.11216282507496,IPC,IPC 351,0,Sunday,Under 18
2937/2020,2020-12-25 00:07:00,2020,Mumbai,Maharashtra,THEFT,shoplifting,IPC-378,street,15,55,unknown,False,charge sheeted,low,18.96620719642618,72.80057996131717,IPC,IPC 378,0,Friday,51-65
MUM-2019-1261,2019-06-24 16:13:00,2019,Mumbai,Maharashtra,DOMESTIC VIOLENCE,mental cruelty,ipc 498a,school,19,56,female,False,closed,medium,19.139534772317973,72.81507014852733,IPC,IPC 498,16,Monday,51-65
fir/kol/2015/6503,2015-02-12 05:51:00,2015,Kolkata,West Bengal,RIOTING,communal riot,147 IPC,highway,39,17,male,True,charge sheeted,medium,22.63617969367224,88.35944466335587,IPC,IPC 147,5,Thursday,Under 18
