fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude
fir/pun/2022/5328,12/08/2022 14:55:00,2022,Pune,Maharashtra,THEFT,PICKPOCKETING,378,RESIDENCE,24.0,60.0,Female,n,Pending Trial,Low,18.63511831745787,73.77165985402361
fir/che/2022/5518,1668463140,2022,Chennai,Tamil Nadu,ASSAULT,GRIEVOUS HURT,Sec. 351,Residence,28.0,27.0,Male,Y,charge sheeted,Medium,13.138625614277913,80.20259613413974
2567/2022,23/07/2022 18:36:00,2022,Bhubaneswar,Odisha,FRAUD/CHEATING,Investment Scam,IPC-420,Residence,44.0,53.0,Male,False,,Low,20.338325577407126,85.86205393718089
KOL-2020-2426,01/27/2020 02:12:00,2020,Kolkata,West Bengal,DOMESTIC VIOLENCE,PHYSICAL ABUSE,ipc 498a,Bank,35.0,22.0,female,FALSE,Pending Trial,MEDIUM,22.62197292224744,88.4237483335259
fir/del/2016/1138,05/20/2016 19:15:00,2016,Delhi,Delhi,DOMESTIC VIOLENCE,Dowry Harassment,498-A IPC,STREET,26.0,,,No,Convicted,MEDIUM,28.794690519673246,77.10036911966806
fir/kol/2023/4223,07/05/2023 04:29:00,2023,Kolkata,West Bengal,ASSAULT,SIMPLE ASSAULT,IPC 352,,9.0,29.0,UNKNOWN,y,closed,Medium,22.491907646352583,88.2891730425778
FIR36492018,2018-01-23 06:07:00,2018,Jaipur,Rajasthan,ASSAULT,Simple Assault,ipc 351,street,18.0,16.0,male,Yes,Closed,Medium,27.030325677286505,75.6648068377707
FIR/LUC/2022/6095,24/05/2022 14:53:00,2022,Lucknow,Uttar Pradesh,DRUG OFFENSE,Trafficking,ndps act,School,36.0,11.0,Male,no,,LOW,26.928754428301875,80.80006930821658
6817/2018,2018-12-22 16:04:00,2018,Delhi,Delhi,FRAUD/CHEATING,Investment Scam,IPC 420,Street,19.0,63.0,,,UNDER INVESTIGATION,Low,28.77020329396486,76.96126921561935
FIR33542020,07/09/2020 17:11:00,2020,Lucknow,Uttar Pradesh,THEFT,Chain Snatching,378,Railway Station,39.0,38.0,m,,,Low,26.879700849146765,81.03945653224054
CHA-2023-7006,1699281180,2023,Chandigarh,Punjab,MURDER,CULPABLE HOMICIDE,ipc 302,OFFICE,23.0,60.0,UNKNOWN,,charge sheeted,High,30.722308681601273,76.76603574409393
fir/kol/2017/6753,2017-11-27 03:22:00,2017,Kolkata,West Bengal,FRAUD/CHEATING,UPI Fraud,420 IPC,RESIDENCE,20.0,,MALE,,Closed,Low,22.530044308266458,88.34458781634295
fir/pun/2020/9273,2020-11-09 15:52:00,2020,Pune,Maharashtra,KIDNAPPING,Abduction for Ransom,363 IPC,Street,29.0,71.0,Female,True,UNDER INVESTIGATION,High,18.50012710993614,73.79607242806306
KOC-2022-8106,06/24/2022 11:26:00,2022,Kochi,Kerala,MURDER,Premeditated,ipc 302,MARKET,17.0,72.0,m,Yes,Under Investigation,High,,
FIR58542020,1604747760,2020,Hyderabad,Telangana,MURDER,premeditated,IPC-302,RAILWAY STATION,49.0,38.0,male,Yes,PENDING TRIAL,High,17.381196313479066,78.42756956880397
FIR/CHE/2023/2660,31 August 2023 05:22 PM,2023,Chennai,Tamil Nadu,COUNTERFEITING,Document Forgery,IPC 489A,RESIDENCE,27.0,20.0,M,n,charge sheeted,Low,12.934832617160728,80.155727875419
FIR65792020,08-11-2020,2020,Delhi,Delhi,ASSAULT,GRIEVOUS HURT,IPC 351,BANK,,57.0,UNKNOWN,FALSE,Pending Trial,Medium,28.69894843639301,77.20194155742996
HYD-2020-5656,18/05/2020 02:24:00,2020,Hyderabad,Telangana,DOMESTIC VIOLENCE,Mental Cruelty,Sec 498A,street,44.0,45.0,male,,PENDING TRIAL,MEDIUM,17.33999806542567,78.60400772929994
5647/2023,04/09/2023 18:10:00,2023,Bangalore,Karnataka,KIDNAPPING,Child Kidnapping,Sec 363,Office,26.0,78.0,F,No,Pending Trial,High,12.852807142884513,77.45308433755251
BHO-2020-1526,1578818040,2020,Bhopal,Madhya Pradesh,CYBER CRIME,Phishing,IT Act 66,Railway Station,9.0,,male,NO,CLOSED,low,23.27020409083761,77.55864635809876
8152/2019,12/09/2019 13:28:00,2019,Pune,Maharashtra,ASSAULT,Grievous Hurt,IPC 352,ATM,1.0,46.0,Male,,charge sheeted,Medium,18.397194929096578,73.9700200928036
3037/2020,01/06/20 01:50,2020,Delhi,Delhi,DOMESTIC VIOLENCE,PHYSICAL ABUSE,Sec 498A,MARKET,34.0,5.0,Male,y,Closed,MEDIUM,28.595354814882036,76.99922519089398
HYD-2021-2611,31-05-2021,2021,Hyderabad,Telangana,EXTORTION,ONLINE EXTORTION,ipc 383,School,17.0,54.0,f,,Charge Sheeted,medium,17.484289275942388,78.37459756247695
3877/2018,25/07/18 05:59,2018,Mumbai,Maharashtra,DOMESTIC VIOLENCE,Physical Abuse,DV Act 2005,STREET,44.0,38.0,Male,No,Convicted,MEDIUM,18.94870555953046,72.77639032525185
FIR/AHM/2020/7740,16 November 2020 05:21 AM,2020,Ahmedabad,Gujarat,THEFT,SHOPLIFTING,Sec 378,,46.0,15.0,Female,,Convicted,Low,23.145018625462498,72.60650416614602
FIR74842016,01 August 2016 10:52 AM,2016,Lucknow,Uttar Pradesh,VEHICLE THEFT,TWO WHEELER,379 IPC,Highway,23.0,20.0,Male,yes,under investigation,Low,26.994623063789174,81.0483812045864
7397/2021,04/09/21 13:06,2021,Delhi,Delhi,KIDNAPPING,ABDUCTION FOR RANSOM,IPC 363,RAILWAY STATION,6.0,62.0,,y,Charge Sheeted,High,28.650667385503215,76.95760103895537
BHU-2016-2081,2016-12-14 07:03:00,2016,Bhubaneswar,Odisha,CYBER CRIME,IDENTITY THEFT,IT ACT 66,ATM,45.0,38.0,UNKNOWN,yes,under investigation,low,,
BHU-2015-7876,24 February 2015 02:19 PM,2015,Bhubaneswar,Odisha,FRAUD/CHEATING,Bank Fraud,Sec 420,STREET,23.0,6.0,Male,,PENDING TRIAL,Low,20.363298446600325,85.71025985591604
fir/bho/2022/2048,05/06/2022 09:09:00,2022,Bhopal,Madhya Pradesh,FRAUD/CHEATING,BANK FRAUD,420,SCHOOL,7.0,66.0,,N,under investigation,Low,23.308148165146136,77.26873031717908
fir/ban/2015/1403,02-03-2015,2015,Bangalore,Karnataka,HUMAN TRAFFICKING,LABOUR TRAFFICKING,IPC 370,Residence,28.0,41.0,,No,Pending Trial,High,12.851520247839993,77.4543117217208
fir/pat/2018/5863,09/09/2018 10:48:00,2018,Patna,Bihar,MURDER,premeditated,IPC-302,RESIDENCE,25.0,32.0,Female,NO,Convicted,High,,
FIR76592018,05-06-2018,2018,Chennai,Tamil Nadu,THEFT,CHAIN SNATCHING,IPC 378,Bank,33.0,27.0,f,N,CLOSED,Low,13.068994753375424,80.36710570053808
FIR/DEL/2018/7330,06/04/2018 12:23:00,2018,Delhi,Delhi,BURGLARY,House Breaking,457 IPC,Residence,3.0,61.0,Unknown,,Pending Trial,Medium,,
FIR74042016,17 February 2016 12:52 AM,2016,Kochi,Kerala,FRAUD/CHEATING,Investment Scam,IPC 420,Street,25.0,5.0,Male,FALSE,closed,Low,9.800045902822303,76.12080768210421
FIR50992021,15-01-2021,2021,Chennai,Tamil Nadu,ROBBERY,Bank Robbery,IPC 392,Railway Station,34.0,37.0,,yes,CLOSED,HIGH,13.162028784428182,80.31341316795327
JAI-2019-2541,28/06/19 09:07,2019,Jaipur,Rajasthan,ATTEMPT TO MURDER,Shooting,307 IPC,MARKET,30.0,52.0,Male,,CLOSED,high,26.78502029529106,75.72379362262573
fir/koc/2017/2183,13/05/2017 01:12:00,2017,Kochi,Kerala,THEFT,Chain Snatching,Sec 378,street,26.0,55.0,Female,No,Acquitted,Low,9.817500149244784,76.401233512659
FIR/MUM/2020/4205,13/02/20 09:05,2020,Mumbai,Maharashtra,BURGLARY,HOUSE BREAKING,Sec. 457,Market,2.0,9.0,,YES,Charge Sheeted,Medium,19.05841521534022,73.01752457830072
FIR/BHO/2023/1905,2023-03-25 13:16:00,2023,Bhopal,Madhya Pradesh,DOMESTIC VIOLENCE,DOWRY HARASSMENT,IPC 498A,Office,40.0,35.0,Male,Y,,MEDIUM,23.350870527121515,77.26913933228312
FIR35342015,1446137160,2015,Hyderabad,Telangana,ARSON,VEHICLE FIRE,IPC 435,HIGHWAY,13.0,,male,NO,Convicted,High,17.3481252591341,78.39542658181733
FIR/LUC/2022/4630,1647151320,2022,Lucknow,Uttar Pradesh,FRAUD/CHEATING,online fraud,IPC 420,MARKET,40.0,78.0,F,Y,closed,Low,26.80700644697575,81.07501699573665
FIR/CHE/2020/6860,27 December 2020 02:26 PM,2020,Chennai,Tamil Nadu,ASSAULT,SIMPLE ASSAULT,IPC 352,SCHOOL,29.0,7.0,MALE,No,CONVICTED,Medium,12.947677404905356,80.23976599762867
KAN-2016-9681,2016-04-03 04:33:00,2016,Kanpur,Uttar Pradesh,ASSAULT,Simple Assault,ipc 351,RESIDENCE,33.0,,M,NO,UNDER INVESTIGATION,Medium,26.46863430784111,80.44292946164836
FIR/LUC/2021/5040,30/10/2021 13:07:00,2021,Lucknow,Uttar Pradesh,ASSAULT,Grievous Hurt,Sec. 351,Street,45.0,49.0,Male,,charge sheeted,Medium,26.820863501466786,81.0506078624527
fir/del/2019/1353,2019-12-07 14:10:00,2019,Delhi,Delhi,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,ATM,37.0,77.0,female,no,CLOSED,MEDIUM,28.643253909227425,76.96558774352444
FIR/PUN/2016/7400,19/02/2016 18:58:00,2016,Pune,Maharashtra,FRAUD/CHEATING,Online Fraud,Sec 420,STREET,32.0,27.0,Male,Yes,,Low,18.563696929586005,73.85611063953486
fir/del/2017/1833,2017-08-09 10:27:00,2017,Delhi,Delhi,ROBBERY,Unarmed Robbery,ipc 392,STREET,5.0,33.0,M,NO,Closed,HIGH,28.753336376510124,76.97736642743638
AHM-2023-7661,03/12/23 03:47,2023,Ahmedabad,Gujarat,EXTORTION,Threatening,Sec 383,MARKET,,59.0,M,n,under investigation,medium,22.8958047263505,72.5335963785893
CHA-2015-8116,12 August 2015 03:19 AM,2015,Chandigarh,Punjab,VEHICLE THEFT,Car Theft,MVA Sec 185,BANK,12.0,71.0,Female,No,CHARGE SHEETED,Low,30.772284616385235,76.88114937620453
FIR/PUN/2020/9160,06/08/2020 12:15:00,2020,Pune,Maharashtra,ROBBERY,Armed Robbery,IPC 392,Bank,,6.0,,NO,PENDING TRIAL,HIGH,,
KOC-2016-9061,17/02/16 11:28,2016,Kochi,Kerala,DRUG OFFENSE,Possession,NDPS ACT Sec 8,Office,4.0,,Male,yes,Convicted,LOW,,
fir/kan/2019/7398,1564464960,2019,Kanpur,Uttar Pradesh,THEFT,PICKPOCKETING,IPC 378,Street,46.0,38.0,Male,no,Acquitted,Low,26.408353300036623,80.45078008095504
FIR/DEL/2016/8865,2016-10-01 08:39:00,2016,Delhi,Delhi,KIDNAPPING,Child Kidnapping,ipc 363,RAILWAY STATION,43.0,12.0,Male,N,Pending Trial,High,28.635440906848107,77.133250415398
FIR97642016,24 April 2016 05:05 PM,2016,Hyderabad,Telangana,DOMESTIC VIOLENCE,Mental Cruelty,Sec 498A,Office,7.0,7.0,Female,,UNDER INVESTIGATION,MEDIUM,17.413529570100337,78.41631176493489
PUN-2021-8621,19/06/21 10:10,2021,Pune,Maharashtra,ARSON,VEHICLE FIRE,ipc 435,,41.0,20.0,,,CLOSED,High,18.659704981730094,73.77623583357556
fir/kol/2022/2703,09/12/2022 20:02:00,2022,Kolkata,West Bengal,HUMAN TRAFFICKING,Sex Trafficking,370 IPC,Street,44.0,60.0,MALE,,under investigation,High,22.64973661900075,88.21375400203976
fir/luc/2017/4553,2017-06-22 08:28:00,2017,Lucknow,Uttar Pradesh,VEHICLE THEFT,TWO WHEELER,ipc 379,ATM,30.0,6.0,Female,n,UNDER INVESTIGATION,Low,26.83918656599504,80.96963561954755
SUR-2017-2421,07/05/17 18:59,2017,Surat,Gujarat,THEFT,Pickpocketing,IPC-378,ATM,24.0,24.0,Unknown,No,CHARGE SHEETED,Low,21.098414736763868,72.93886562243844
fir/ban/2021/6733,21/03/21 12:53,2021,Bangalore,Karnataka,DRUG OFFENSE,TRAFFICKING,NDPS Act,RESIDENCE,6.0,71.0,Female,YES,under investigation,LOW,12.875517053830025,77.49040797126698
8437/2018,07/01/18 21:15,2018,Surat,Gujarat,VEHICLE THEFT,two wheeler,379 IPC,Highway,8.0,45.0,FEMALE,,PENDING TRIAL,Low,21.08538297081649,72.73017547035192
5092/2020,16 January 2020 10:21 AM,2020,Ahmedabad,Gujarat,ASSAULT,Grievous Hurt,ipc 351,OFFICE,32.0,40.0,M,,under investigation,Medium,23.1664700167094,72.50986825065746
PAT-2020-9291,27-11-2020,2020,Patna,Bihar,RIOTING,Communal Riot,ipc 147,Office,,,Female,NO,charge sheeted,Medium,25.597814332039594,85.24464235099009
FIR71292022,2022-03-14 17:23:00,2022,Bangalore,Karnataka,FRAUD/CHEATING,INVESTMENT SCAM,IPC-420,Street,11.0,,female,No,Under Investigation,Low,13.106705123683081,77.5348560005245
CHE-2022-5601,2022-01-30 15:54:00,2022,Chennai,Tamil Nadu,DRUG OFFENSE,TRAFFICKING,NDPS Act,,20.0,31.0,FEMALE,NO,CHARGE SHEETED,LOW,13.14580585304383,80.32978851351167
FIR45142022,07/06/2022 19:57:00,2022,Nagpur,Maharashtra,ROBBERY,Bank Robbery,IPC-392,BANK,,41.0,Female,NO,Charge Sheeted,HIGH,21.153263359429587,79.0084824277191
KOL-2018-7016,21/03/2018 06:39:00,2018,Kolkata,West Bengal,MURDER,premeditated,302 IPC,street,33.0,,UNKNOWN,no,Closed,High,22.66914984508523,88.24321875045887
2107/2018,12-12-2018,2018,Mumbai,Maharashtra,HUMAN TRAFFICKING,Sex Trafficking,ipc 370,street,41.0,34.0,,,Under Investigation,High,19.20482910119929,72.76872368228828
FIR/MUM/2020/5420,14 February 2020 12:50 PM,2020,Mumbai,Maharashtra,DACOITY,GANG ROBBERY,ipc 395,School,45.0,13.0,Male,N,Under Investigation,High,19.068471183271004,72.938455453695
FIR19592018,14/05/2018 10:35:00,2018,Kanpur,Uttar Pradesh,THEFT,Pickpocketing,ipc 378,ATM,44.0,,MALE,,CONVICTED,Low,26.486290192201047,80.21222276991128
9237/2015,28/10/15 10:30,2015,Mumbai,Maharashtra,KIDNAPPING,Child Kidnapping,Sec 363,BANK,46.0,17.0,MALE,no,under investigation,High,,
FIR/JAI/2016/8190,1452736440,2016,Jaipur,Rajasthan,DACOITY,ARMED DACOITY,IPC 395,Market,7.0,29.0,Female,NO,CLOSED,High,26.777255155787948,75.86854641938099
fir/kol/2018/2283,19-12-2018,2018,Kolkata,West Bengal,KIDNAPPING,ABDUCTION FOR RANSOM,IPC 363,Street,33.0,17.0,Male,,Under Investigation,High,22.663592384396388,88.34876397163433
MUM-2016-9936,19/01/2016 10:56:00,2016,Mumbai,Maharashtra,DACOITY,GANG ROBBERY,395 IPC,RAILWAY STATION,3.0,68.0,Male,N,Charge Sheeted,High,18.978491925898524,72.92830183385563
FIR12042019,11 December 2019 08:07 AM,2019,Ahmedabad,Gujarat,RAPE/SEXUAL ASSAULT,RAPE,ipc 376,street,,9.0,FEMALE,NO,CLOSED,High,,
HYD-2018-2941,01/04/18 06:12,2018,Hyderabad,Telangana,VEHICLE THEFT,Two Wheeler,MVA Sec 185,SCHOOL,22.0,29.0,Male,NO,under investigation,Low,17.392801096372562,78.56334341166284
FIR/SUR/2020/5675,28-02-2020,2020,Surat,Gujarat,FRAUD/CHEATING,UPI Fraud,420 IPC,RESIDENCE,41.0,76.0,UNKNOWN,no,Under Investigation,Low,21.075826589820654,72.80441905412829
FIR85292021,2021-02-14 07:54:00,2021,Guwahati,Assam,ASSAULT,Road Rage,Sec. 351,Market,42.0,66.0,male,NO,CLOSED,Medium,26.055115163124633,91.77100124029546
4342/2016,1474128540,2016,Pune,Maharashtra,FRAUD/CHEATING,INVESTMENT SCAM,ipc 420,Railway Station,28.0,13.0,Female,y,CONVICTED,Low,18.431422278105952,73.71475018341997
9397/2022,02/01/22 23:08,2022,Kolkata,West Bengal,ROBBERY,armed robbery,392 IPC,Market,46.0,10.0,,no,CONVICTED,HIGH,22.684061735102798,88.33062060460725
FIR95892018,23/11/18 13:48,2018,Delhi,Delhi,ASSAULT,ROAD RAGE,Sec. 351,street,45.0,28.0,MALE,Yes,Acquitted,Medium,28.640874461264936,76.98919429639837
FIR57292022,2022-04-24 00:47:00,2022,Delhi,Delhi,OTHER IPC OFFENSE,Unlawful Assembly,ipc 151,MARKET,16.0,20.0,Female,No,under investigation,Low,28.691560658340773,77.18787041932177
fir/hyd/2016/2553,2016-12-13 12:29:00,2016,Hyderabad,Telangana,HUMAN TRAFFICKING,LABOUR TRAFFICKING,ipc 370,BANK,23.0,51.0,Male,N,Under Investigation,High,17.47817099145161,78.62856482406592
3777/2020,2020-08-20 10:13:00,2020,Mumbai,Maharashtra,MURDER,Culpable Homicide,IPC 302,BANK,,76.0,UNKNOWN,No,charge sheeted,High,19.018280274007495,73.00295897242076
NAG-2020-5256,05/01/2020 11:01:00,2020,Nagpur,Maharashtra,EXTORTION,Threatening,IPC 383,,18.0,19.0,M,YES,Pending Trial,medium,21.253717756779544,79.14084910177772
KOL-2020-3916,17 April 2020 06:50 AM,2020,Kolkata,West Bengal,THEFT,shoplifting,IPC 378,Bank,36.0,,M,n,PENDING TRIAL,Low,22.62197048484718,88.34001756310114
MUM-2015-2821,19/05/15 22:17,2015,Mumbai,Maharashtra,VEHICLE THEFT,two wheeler,ipc 379,street,30.0,20.0,MALE,,Pending Trial,Low,18.971976773520183,72.93745153074404
7532/2021,27 May 2021 06:43 PM,2021,Surat,Gujarat,THEFT,shoplifting,ipc 378,RESIDENCE,,79.0,UNKNOWN,yes,closed,Low,21.108523617500246,72.70942426784488
FIR/PUN/2023/2590,1686482700,2023,Pune,Maharashtra,RAPE/SEXUAL ASSAULT,SEXUAL ASSAULT,ipc 376,SCHOOL,26.0,21.0,Male,NO,Charge Sheeted,High,18.61094524134738,73.82561879390022
CHE-2021-5946,12/23/2021 21:21:00,2021,Chennai,Tamil Nadu,BURGLARY,Night Burglary,Sec. 457,Highway,29.0,64.0,Male,Y,Closed,Medium,13.083242520429213,80.36884990970324
8717/2020,09/07/20 11:37,2020,Chennai,Tamil Nadu,THEFT,Shoplifting,378,Office,13.0,47.0,Female,,Acquitted,Low,13.140799755548636,80.28581582597658
FIR29542023,01/21/2023 04:36:00,2023,Bhubaneswar,Odisha,DOMESTIC VIOLENCE,PHYSICAL ABUSE,IPC 498A,MARKET,24.0,27.0,Male,yes,charge sheeted,MEDIUM,20.29455606769531,85.95285931603972
FIR21992015,24/11/2015 16:12:00,2015,Patna,Bihar,BURGLARY,Shop Breaking,Sec. 457,OFFICE,3.0,48.0,FEMALE,False,Convicted,Medium,25.579839995778965,85.03191516842148
FIR10942015,1420491240,2015,Pune,Maharashtra,ARSON,VEHICLE FIRE,IPC 436,School,3.0,55.0,,False,charge sheeted,High,18.54877381211251,73.83184224296942
fir/ind/2015/4283,05-11-2015,2015,Indore,Madhya Pradesh,ROBBERY,ARMED ROBBERY,IPC-392,OFFICE,8.0,61.0,F,FALSE,Pending Trial,HIGH,22.78447213516184,75.76119579424092
FIR76892023,2023-07-30 05:13:00,2023,Lucknow,Uttar Pradesh,DOMESTIC VIOLENCE,Mental Cruelty,DV Act 2005,HIGHWAY,31.0,27.0,MALE,FALSE,Charge Sheeted,MEDIUM,,
fir/che/2015/3713,2015-05-06 20:09:00,2015,Chennai,Tamil Nadu,FRAUD/CHEATING,ONLINE FRAUD,420 IPC,Bank,4.0,58.0,M,True,Under Investigation,Low,12.939878050699594,80.14074112348969
7127/2019,22/03/2019 05:11:00,2019,Kolkata,West Bengal,THEFT,Mobile Theft,Sec 378,Highway,22.0,70.0,MALE,yes,Charge Sheeted,Low,,
fir/ban/2015/9628,14 April 2015 03:11 PM,2015,Bangalore,Karnataka,BURGLARY,Night Burglary,IPC 457,STREET,25.0,79.0,Male,no,closed,Medium,12.839299943395174,77.50409077063611
FIR/AHM/2019/6805,15/10/19 18:50,2019,Ahmedabad,Gujarat,ROBBERY,Armed Robbery,IPC-392,RAILWAY STATION,37.0,11.0,M,y,under investigation,HIGH,22.909767485825633,72.50507640935454
fir/nag/2022/9893,31/10/22 22:22,2022,Nagpur,Maharashtra,DOMESTIC VIOLENCE,Physical Abuse,DV Act 2005,Street,37.0,79.0,male,NO,closed,MEDIUM,21.2148858221532,79.0313879635935
MUM-2020-1021,30/11/20 22:13,2020,Mumbai,Maharashtra,ATTEMPT TO MURDER,Stabbing,307 IPC,Bank,,16.0,Male,yes,Charge Sheeted,high,19.101534204106223,72.95818900688968
FIR81792016,13-03-2016,2016,Delhi,Delhi,ATTEMPT TO MURDER,SHOOTING,ipc 307,Railway Station,41.0,41.0,MALE,FALSE,Under Investigation,high,28.55673926334144,77.16786823019687
FIR40942017,1504241040,2017,Delhi,Delhi,DOMESTIC VIOLENCE,Physical Abuse,ipc 498a,street,,36.0,Female,,UNDER INVESTIGATION,MEDIUM,,
FIR/CHA/2019/4830,1573055340,2019,Chandigarh,Punjab,ROBBERY,Unarmed Robbery,392 IPC,BANK,6.0,28.0,Female,no,closed,HIGH,30.84896903518671,76.7390203540164
HYD-2023-5981,12/05/23 03:37,2023,Hyderabad,Telangana,THEFT,SHOPLIFTING,Sec 378,RESIDENCE,18.0,22.0,F,FALSE,,Low,17.31987037807835,78.36674874842251
FIR81342021,1616404020,2021,Kolkata,West Bengal,THEFT,Mobile Theft,378 IPC,SCHOOL,41.0,,,True,under investigation,Low,22.709214408125764,88.24489013700894
FIR/DEL/2015/5110,1436431740,2015,Delhi,Delhi,THEFT,Mobile Theft,IPC 378,School,,39.0,female,FALSE,Convicted,Low,28.55422912581878,77.05657535627019
fir/mum/2018/5283,20-10-2018,2018,Mumbai,Maharashtra,ROBBERY,Unarmed Robbery,Sec 392,ATM,9.0,61.0,Male,n,closed,HIGH,18.98240436224362,72.95972597989483
FIR21092017,16/05/17 05:11,2017,Bangalore,Karnataka,DOMESTIC VIOLENCE,PHYSICAL ABUSE,Sec 498A,Office,42.0,,male,NO,Charge Sheeted,MEDIUM,,
CHE-2020-1371,10-07-2020,2020,Chennai,Tamil Nadu,THEFT,SHOPLIFTING,IPC-378,OFFICE,2.0,21.0,male,N,PENDING TRIAL,Low,13.158739536881368,80.37025809981779
BAN-2016-4366,1456347780,2016,Bangalore,Karnataka,THEFT,SHOPLIFTING,IPC-378,Office,13.0,73.0,Female,NO,closed,Low,12.879587854477899,77.68313219776665
4072/2018,05/11/2018 12:10:00,2018,Delhi,Delhi,KIDNAPPING,Child Kidnapping,Sec 363,Bank,32.0,45.0,,Yes,Acquitted,High,28.66487764691912,77.21523419399315
KAN-2023-5866,07/08/2023 16:52:00,2023,Kanpur,Uttar Pradesh,DOMESTIC VIOLENCE,PHYSICAL ABUSE,ipc 498a,Office,8.0,15.0,F,TRUE,CLOSED,MEDIUM,26.332822742491615,80.27277026981947
PAT-2017-4316,16 June 2017 12:51 AM,2017,Patna,Bihar,VEHICLE THEFT,Car Theft,379 IPC,School,41.0,44.0,female,,Closed,Low,25.555646710150953,85.25837259973021
5237/2023,29/09/23 15:56,2023,Surat,Gujarat,ASSAULT,Grievous Hurt,ipc 351,HIGHWAY,30.0,13.0,MALE,n,PENDING TRIAL,Medium,,
KOL-2023-8651,18-01-2023,2023,Kolkata,West Bengal,BURGLARY,HOUSE BREAKING,Sec. 457,MARKET,9.0,11.0,male,Yes,Charge Sheeted,Medium,22.58927669601697,88.26392456746018
IND-2018-9446,1541268420,2018,Indore,Madhya Pradesh,ATTEMPT TO MURDER,Stabbing,307 IPC,BANK,31.0,25.0,Female,No,PENDING TRIAL,high,,
1817/2019,2019-03-10 18:56:00,2019,Kochi,Kerala,RIOTING,Political Violence,IPC 147,Office,9.0,,MALE,no,CONVICTED,Medium,9.857271041931112,76.30952261146273
FIR59192019,07/09/2019 12:26:00,2019,Kanpur,Uttar Pradesh,OTHER IPC OFFENSE,Unlawful Assembly,IPC 107,,22.0,51.0,female,,,Low,,
FIR/BAN/2018/5745,2018-09-09 21:23:00,2018,Bangalore,Karnataka,BURGLARY,Shop Breaking,IPC 457,School,21.0,20.0,m,no,CONVICTED,Medium,12.951473900561774,77.69386184919912
8952/2020,19/12/2020 21:36:00,2020,Lucknow,Uttar Pradesh,ASSAULT,Grievous Hurt,351 IPC,Market,12.0,18.0,m,No,,Medium,26.757882297151237,80.83784811869037
FIR/HYD/2021/2680,31/01/2021 04:32:00,2021,Hyderabad,Telangana,ROBBERY,armed robbery,Sec 392,Highway,38.0,27.0,M,,PENDING TRIAL,HIGH,,
FIR24442016,18 June 2016 08:53 AM,2016,Nagpur,Maharashtra,BURGLARY,Night Burglary,IPC 457,Residence,24.0,33.0,F,,CLOSED,Medium,21.271166814537754,79.10912203837937
FIR/DEL/2016/2960,20/10/2016 09:05:00,2016,Delhi,Delhi,KIDNAPPING,Abduction for Ransom,Sec 363,STREET,11.0,32.0,Female,Yes,closed,High,28.64122544382185,77.07732653126395
8222/2021,1636735200,2021,Bangalore,Karnataka,RIOTING,Communal Riot,IPC 148,OFFICE,16.0,44.0,Male,Yes,Charge Sheeted,Medium,,
FIR/DEL/2022/5885,29/08/22 21:24,2022,Delhi,Delhi,RIOTING,COMMUNAL RIOT,IPC 148,School,36.0,55.0,MALE,NO,CLOSED,Medium,28.6537586020685,77.19140734541358
fir/mum/2016/7583,11/04/2016 23:23:00,2016,Mumbai,Maharashtra,FRAUD/CHEATING,Investment Scam,ipc 420,BANK,20.0,13.0,m,No,,Low,19.18157609516266,72.75243979983668
BAN-2021-1006,1624988520,2021,Bangalore,Karnataka,VEHICLE THEFT,two wheeler,379 IPC,STREET,34.0,34.0,male,,,Low,12.906477100613177,77.72378906298515
5622/2021,1627843800,2021,Delhi,Delhi,HUMAN TRAFFICKING,Sex Trafficking,370 IPC,Railway Station,17.0,19.0,MALE,n,,High,28.816131691809083,76.95703287276218
fir/sur/2021/1833,2021-06-08 02:25:00,2021,Surat,Gujarat,FRAUD/CHEATING,BANK FRAUD,IPC-420,Market,47.0,22.0,FEMALE,NO,PENDING TRIAL,Low,21.077010699345237,72.7123976044739
PAT-2015-7586,06/27/2015 07:21:00,2015,Patna,Bihar,ARSON,VEHICLE FIRE,435 IPC,ATM,14.0,56.0,Male,N,Charge Sheeted,High,25.578917356413136,85.0278252870974
FIR/HYD/2020/3395,24-12-2020,2020,Hyderabad,Telangana,BURGLARY,House Breaking,ipc 457,RAILWAY STATION,35.0,70.0,MALE,No,CHARGE SHEETED,Medium,17.453667336232463,78.56812167908974
AHM-2021-1216,26/10/2021 15:39:00,2021,Ahmedabad,Gujarat,ASSAULT,ROAD RAGE,Sec. 351,Street,6.0,15.0,FEMALE,,Acquitted,Medium,22.930025789596947,72.48790633418211
FIR/CHE/2019/9255,01/04/2019 17:32:00,2019,Chennai,Tamil Nadu,FRAUD/CHEATING,online fraud,420,Office,45.0,20.0,FEMALE,no,CONVICTED,Low,13.120927400352954,80.33766294452478
FIR41992015,23/09/2015 20:53:00,2015,Lucknow,Uttar Pradesh,VEHICLE THEFT,two wheeler,IPC 379,Residence,37.0,,Female,no,CLOSED,Low,,
FIR93642018,29 May 2018 12:00 PM,2018,Kochi,Kerala,THEFT,SHOPLIFTING,378,RESIDENCE,43.0,67.0,f,No,UNDER INVESTIGATION,Low,10.04904366217448,76.24107844643294
